Arms ;Cost ;Weight ;Damage ;S ;T ;Sp ;ROF ;Range
;;;;;;;;
Arquebus ;500 gp ;10;1-10/1-10 ;M ;P ;15;1/3 ;5/15/21
Axe, Throwing ;1 gp ;5;1-6/1-4 ;M ;S ;4;1;1/2/3
Blowgun ;10 gp ;2;;L ;0;5;2/1 ;1/2/3
Blunderbus ;500 gp ;12;1-4/1-4 ;M ;P ;15;1/3 ;1/2/3
Bow, Composite, Long, Flight ;100 gp ;3;0;L ;0;7;2/1 ;6/12/21
Sheaf ;0;0;0;0;0;0;2/1 ;4/8/17
Bow, Composite, Short ;75 gp ;2;0;M ;0;6;2/1 ;5/10/18
Bow, Daiku ;100 gp ;3;0;L ;0;7;2/1 ;7/14/21
Bow, Long, Flight ;75 gp ;3;0;L ;0;8;2/1 ;7/14/21
Sheaf ;0;0;0;0;0;0;2/1 ;5/10/17
Bow, Short ;30 gp ;2;0;M ;0;7;2/1 ;5/10/15
Crossbow, Hand ;300 gp ;3;0;S ;0;5;1;2/4/6
Crossbow, Heavy ;50 gp ;14;0;M ;0;11;1/2 ;8/16/24
Crossbow, Light ;35 gp ;7;0;M ;0;7;1;6/12/18
Crossbow, Light, ;;;;;;;;
Repeating 10 bolts ;120 gp ;8.5;0;M ;0;5;3/2 ;5/11/16
Crossbow, Medium ;40 gp ;8.5;0;M ;0;9;2/3 ;7/13/21
Dart,throwing ;5 sp ;0.5;1-3/1-2 ;S ;P ;2;3/1 ;1/2/4
Harpoon ;20 gp ;5;2-5/2-7 ;L ;P ;7;1;1/2/3
2 Handed ;20 gp ;5;2-8/2-12 ;L ;P ;7;1;1/2/3
Javelin ;5 sp ;2;1-4/1-4 ;L ;P ;4;1;2/4/6
2 Handed ;5 sp ;2;1-6/1-6 ;L ;P ;4;1;2/4/6
Javelin, Stone ;5 cp ;2;1-4/1-4 ;M ;P ;4;1;1/2/3
2 Handed ;5 cp ;2;2-5/1-6 ;M ;P ;4;1;1/2/3
Musket ;800 gp ;20;1-12/1-12 ;M ;P ;17;1/4 ;6/18/24
Shuriken,spike,large ;5 sp ;0.2;1-4/1-3 ;1;S ;P ;2/1 ;2/4/6
Shuriken,spike,small ;3 sp ;0.1;1-3/1-3 ;1;S ;P ;2/1 ;2/4/6
Shuriken,star,large ;8 sp ;0.3;1-6/1-4 ;1;S ;P ;2/1 ;2/4/6
Shuriken,star,small ;5 sp ;0.2;1-4/1-4 ;1;S ;P ;2/1 ;2/4/6
Sling ;5 cp ;0.1;0;S ;0;6;0;0
Staff Sling ;2 sp ;2;0;M ;0;11;2/1 ;-/3-6/9
Starwheel Pistol ;1000 gp ;5;1-4/1-4 ;S ;P ;10;1/3 ;3/6/9
